PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
M6M,0.950819672,0.918032787,0.983606557,0.950819672,0.950819672,0.967213115,0.983606557,0.901639344
M6N,0.970149254,0.955223881,0.940298507,0.925373134,0.970149254,0.955223881,0.940298507,0.955223881
M6P,0.95,0.95,0.95,0.95,0.9,0.933333333,0.933333333,0.983333333
M6R,0.952380952,0.904761905,0.952380952,0.928571429,0.952380952,0.928571429,0.952380952,0.928571429
M6S,0.981132075,0.943396226,0.924528302,0.962264151,0.924528302,0.924528302,0.962264151,0.924528302
M8V,1,0.909090909,0.954545455,0.954545455,0.931818182,1,0.931818182,0.977272727
M8W,0.974358974,0.974358974,1,0.871794872,0.974358974,1,1,0.923076923
M8X,1,0.941176471,0.941176471,1,1,0.941176471,1,0.941176471
M8Y,1,0.935483871,0.967741935,0.935483871,0.870967742,1,1,1
M9A,1,0.953488372,0.976744186,0.953488372,1,1,1,1
M9B,0.981132075,0.962264151,0.943396226,0.924528302,1,0.943396226,1,0.981132075
M9C,0.983333333,0.966666667,0.933333333,0.966666667,1,1,1,0.966666667
M9L,0.925925926,0.962962963,0.962962963,0.962962963,0.925925926,0.962962963,1,0.962962963
M9M,0.966666667,0.966666667,0.933333333,0.933333333,0.933333333,0.9,1,0.9
M9N,1,0.971428571,0.942857143,1,0.942857143,0.942857143,0.914285714,0.971428571
M9P,1,0.933333333,0.933333333,0.966666667,0.933333333,1,1,1
M9R,0.977777778,0.977777778,0.977777778,1,1,0.911111111,1,0.933333333
M9V,0.985074627,0.970149254,0.925373134,0.955223881,1,0.970149254,1,0.955223881
M9W,0.983333333,0.966666667,0.966666667,0.983333333,1,0.983333333,0.933333333,0.95
N0B,0.930875576,0.917050691,0.958525346,0.963133641,0.917050691,0.898617512,0.898617512,1
