PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
L4G,0.746031746,0.793650794,0.793650794,0.714285714,0.587301587,0.80952381,0.80952381,0.841269841
L4H,0.679245283,0.641509434,0.811320755,0.547169811,0.962264151,0.641509434,0.811320755,0.830188679
L4J,0.845360825,0.690721649,0.783505155,0.649484536,0.835051546,0.824742268,0.525773196,0.587628866
L4K,0.733333333,0.666666667,0.666666667,0.866666667,0.866666667,0.666666667,0.666666667,0.666666667
L4L,0.898876404,0.696629213,0.685393258,0.764044944,0.820224719,0.584269663,0.741573034,0.797752809
L4M,0.732673267,0.702970297,0.792079208,0.693069307,0.524752475,0.663366337,0.504950495,0.623762376
L4N,0.762711864,0.740112994,0.915254237,0.694915254,0.700564972,0.711864407,0.853107345,0.435028249
L4P,0.731707317,0.780487805,0.658536585,0.756097561,0.634146341,0.682926829,0.87804878,0.756097561
L4R,0.651162791,0.720930233,0.837209302,0.674418605,0.511627907,0.441860465,0.395348837,0.372093023
L4S,0.913043478,0.826086957,0.869565217,0.695652174,0.826086957,0.52173913,0.695652174,0.826086957
L4T,0.709677419,0.677419355,0.709677419,0.774193548,0.629032258,0.629032258,0.661290323,0.983870968
L4V,1,1,1,1,1,1,1,1
L4W,0.638888889,0.805555556,0.916666667,0.861111111,0.638888889,0.527777778,0.444444444,0.694444444
L4X,0.708333333,0.458333333,0.583333333,0.666666667,0.625,0.416666667,0.5,0.833333333
L4Y,0.731707317,0.634146341,0.829268293,0.731707317,0.658536585,0.585365854,0.43902439,0.634146341
L4Z,0.772727273,0.818181818,0.954545455,0.659090909,0.727272727,0.75,0.704545455,0.613636364
L5A,0.677966102,0.728813559,0.627118644,0.677966102,0.559322034,0.644067797,0.661016949,0.745762712
L5B,0.703703704,0.722222222,0.740740741,0.666666667,0.481481481,0.740740741,0.685185185,0.666666667
L5C,0.804347826,0.717391304,0.652173913,0.695652174,0.608695652,0.760869565,0.586956522,0.608695652
L5E,0.761904762,0.857142857,0.80952381,0.714285714,0.428571429,0.666666667,0.714285714,0.619047619
L5G,0.594594595,0.648648649,0.783783784,0.72972973,0.432432432,0.648648649,0.675675676,0.864864865
L5H,0.806451613,0.677419355,0.806451613,0.774193548,0.741935484,0.806451613,0.741935484,0.935483871
L5J,0.755102041,0.693877551,0.836734694,0.775510204,0.714285714,0.489795918,0.530612245,0.836734694
L5K,0.777777778,0.777777778,0.703703704,0.740740741,0.407407407,0.62962963,0.666666667,0.962962963
