DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16
35202687,549,0.870157785,-0.995076815,1.744563263,-0.564036936,5,1,5,2
35202688,631,-0.037533308,-0.823966541,-0.222092459,-0.13562256,4,1,3,3
35202689,575,-0.554176312,-0.820296979,-0.890586453,0.000795204,2,1,1,4
35202690,475,-0.101430338,-0.366172431,-0.578544929,-0.307295699,3,3,2,3
35202691,609,0.055496605,-0.754212248,-0.165831328,-0.263747846,4,2,3,3
35202694,876,0.293279131,-0.301795898,-1.143931598,-0.004140331,4,3,1,4
35202695,447,-0.908604208,-0.787090967,-0.784670759,-0.072040849,1,2,1,3
35202699,313,-0.363745993,-1.09220598,0.828107121,0.680938048,3,1,5,4
35202700,611,0.16498492,-0.443653583,0.153766837,-0.238992797,4,2,4,3
35202701,506,-0.294673109,-1.06611456,-0.325609335,-0.149032038,3,1,2,3
