TotalPop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3
51610,-0.3172040517680682,-0.814305381739663,-0.17184692803642707,-0.08721463537101334,2.556597558612672,1.5213330749854679,2.698721178066266,3.209843053671769,L7L
49307,-0.5292822763654247,-0.9082576015210214,-0.5406284290571318,0.09042056083251879,2.0447198166588922,1.3798649279007038,2.024966029164216,3.393696635366175,L7M
14022,0.16979991972778488,-0.6277082213876766,0.4500025016488375,-0.3994218151384254,3.1521894166310083,1.9361004136357154,3.580587647981743,2.630865782342034,L7N
33953,-0.3953936369863046,-0.6438642817992223,-0.06439543394839928,-0.3938103389276059,2.4216122286690425,1.9677200836450388,2.8553588784496213,2.718640473595853,L7P
18699,0.8560408169780735,-0.4119992722915129,0.002599930912669165,-0.3616724313829083,4.071715064976737,2.396652227391839,2.886624953206054,2.6424407722338095,L7R
12312,1.2266683510724496,-0.34112173405579926,0.8224563518486843,-0.30317161282147503,4.292803768680962,2.550925925925926,3.7451267056530213,2.8937621832358675,L7S
18079,0.35891168079069635,-0.5653693132084187,0.5120142988482218,-0.3195965674770176,3.682172686542397,2.0180872835886943,3.4406770285967143,2.572487416339399,L7T
30531,-0.5214956708134355,-0.9279813751858768,-0.5210413236574304,-0.40216233277386937,2.2137499590580068,1.399757623399168,2.001997969277128,2.5840948544102713,L8B
41027,-0.16302005328208244,0.16965295505381817,-0.016754673132034985,0.18659010241772497,2.7365637263265654,3.1185073244448778,2.9704828527555023,3.5189753089428915,L8E
23063,0.0866487035982743,0.07625923533018253,0.8303321608359711,-0.4790419127577505,3.1077917009929323,3.273945280319126,4.215930277934354,2.4273511685383515,L8G
28452,0.43508466851989314,1.6154731260204898,0.010206431202129933,-0.31543417077657104,3.9782792070856177,4.682342190355687,3.0295585547588924,2.564705468859834,L8H
24820,-0.6529014909073327,-0.39954509007461714,-0.5854394720532635,0.055576973088074196,2.074536663980661,2.535697018533441,1.9753021756647864,3.433521353746978,L8J
