PCODE3,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Instability_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Deprivation_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Dependency_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Ethniccon_q_DA16
L9H,2.6134794,1.867063587,3.329840438,2.246558704,1,0.918918919,0.945945946,0.986486486
L9J,1.655226935,2.462704613,1.529854911,3.790550595,0.833333333,0.833333333,1,0.833333333
L9K,1.936437247,1.801551957,2.404385965,4.336774629,0.941176471,1,1,0.941176471
L9L,2.443834112,2.049546828,3.359516616,1.952156001,0.909090909,0.96969697,0.96969697,1
L9M,3.369503178,3.440588922,4.368789726,1.568491374,0.962962963,0.925925926,0.925925926,1
L9N,1.993328289,2.151317147,2.493844143,2.854391636,0.875,1,1,1
L9P,2.389506644,1.815141905,2.783549436,2.072979808,1,0.971428571,1,1
L9R,2.581020786,2.525447093,2.329125404,2.516305728,1,0.897435897,1,1
L9S,2.323449349,3.031466719,2.023138246,2.702799922,1,0.895833333,0.916666667,1
L9T,1.983678233,1.488152361,1.488356152,4.297589714,0.959016393,0.942622951,0.868852459,0.926229508
L9V,2.691609977,2.839790989,2.019225081,2.864044168,1,1,1,1
L9W,2.312122909,2.31575128,2.190334018,2.654392403,0.893333333,0.92,0.946666667,1
L9X,1.375295943,1.297738591,2.080496367,2.598824394,0.947368421,1,0.947368421,1
L9Y,3.458088441,2.454694934,3.852329975,1.836446963,0.954545455,1,0.977272727,0.977272727
L9Z,3.111970979,3.507908102,4.907472793,1.721837969,1,1,0.88,0.92
M1B,2.429155246,4.370168557,2.617423559,4.982553464,0.920454545,0.977272727,1,0.977272727
M1C,1.686789418,2.495313627,3.28406633,4.137208142,1,0.983050847,0.93220339,0.93220339
M1E,3.417407683,3.985566604,2.934053178,4.434316002,0.923076923,0.938461538,1,0.969230769
M1G,3.446262179,4.611163384,2.960421283,4.876559323,1,0.906976744,1,0.837209302
M1H,3.765444862,3.959053885,2.816885965,4.872431078,0.970588235,0.970588235,1,0.764705882
M1J,4.040385307,4.419353946,2.565837185,4.917651618,0.925,0.95,1,0.875
M1K,3.900241747,4.515841944,2.895920245,4.873842073,0.967213115,0.901639344,0.93442623,0.819672131
M1L,3.779900422,3.860239203,2.283553415,4.758686005,1,1,0.976744186,1
M1M,3.312266528,3.424854487,3.11614977,4.223351577,1,1,1,0.973684211
M1N,3.783707747,3.216964098,2.742011337,3.376401428,1,1,0.888888889,0.977777778
M1P,3.873851332,3.991563517,2.96397334,4.877726357,1,0.924528302,1,0.811320755
M1R,3.544512513,4.137447862,2.926355579,4.556341241,1,0.980769231,1,0.961538462
M1S,3.268238444,4.220048794,3.811321977,4.962152126,1,1,0.948275862,0.948275862
M1T,3.981982211,3.798322745,3.921524778,4.901931385,0.933333333,0.933333333,0.955555556,0.822222222
M1V,2.20791198,4.677953263,3.7073628,4.931238874,0.958333333,0.958333333,0.972222222,0.958333333
M1W,2.981990018,4.04623005,3.737099805,4.875182662,1,0.942028986,0.869565217,0.826086957
M1X,1.103992455,3.922037095,1.970952531,5,0.933333333,0.933333333,0.933333333,1
M2H,3.498188406,2.99384058,3.601409018,4.918800322,1,1,0.973684211,0.947368421
M2J,4.185937845,3.249757871,2.758737872,4.821113622,0.955882353,1,1,0.970588235
M2K,4.060389938,1.777704562,3.12775689,4.860072096,0.935483871,0.903225806,1,0.806451613
M2L,2.973976222,2.218824306,2.890488771,4.590488771,1,1,0.954545455,1
M2M,4.129220614,2.941976249,3.409043468,4.857634481,0.9375,0.875,0.958333333,0.833333333
M2N,4.475320984,1.839136832,2.576665283,4.847361074,0.853658537,0.914634146,0.902439024,0.963414634
M2P,2.799537903,1.455275608,3.22323688,4.532291781,1,0.923076923,0.923076923,1
M2R,4.524988382,3.368531114,3.088483799,4.582442651,0.897959184,0.959183673,1,0.93877551
M3A,3.840829035,3.582243049,2.386149201,4.499622594,1,1,1,0.872340426
M3B,2.361529809,2.027221597,3.266591676,4.423022122,0.954545455,0.954545455,0.954545455,0.909090909
M3C,4.440432172,3.355597514,3.176172869,4.456166575,0.967741935,1,1,0.967741935
M3H,3.963318824,2.491851577,2.354973989,4.432450366,0.872727273,0.963636364,0.927272727,0.872727273
M3J,4.135963676,4.467543448,2.500986379,4.856395804,0.885714286,0.914285714,1,0.971428571
M3K,4.209549368,3.285810131,2.467963771,4.790226993,0.916666667,0.916666667,1,0.916666667
M3L,3.025273029,4.688604266,2.954142604,4.707473269,1,0.958333333,1,1
M3M,3.956207213,4.518596937,2.517114828,4.612075658,0.947368421,0.973684211,1,1
M3N,3.845552124,4.960989317,2.43164903,4.943648423,0.925,0.95,1,0.925
M4A,4.346723377,3.631852552,2.984404537,4.635055661,0.85,0.9,1,0.9
M4B,3.943178118,3.795397807,2.498751764,3.950504722,0.928571429,1,0.928571429,0.928571429
M4C,4.166638517,3.518853186,2.091732466,3.855360385,1,0.953846154,0.969230769,0.892307692
M4E,3.784323671,2.234013499,1.738207639,3.179587219,0.953488372,0.930232558,0.930232558,0.953488372
M4G,3.224020033,1.500096311,2.095637099,3.561253973,1,0.90625,0.9375,0.90625
M4H,4.633285459,4.34839187,2.133873003,4.840492667,0.9,1,0.9,0.9
M4J,3.864186142,3.20349016,2.360752358,3.791692292,0.909090909,0.954545455,0.939393939,0.939393939
M4K,4.233781098,2.606047828,2.208571773,3.51966749,0.982142857,1,0.910714286,0.982142857
M4L,4.203556031,2.906590775,1.708726648,3.547099101,0.984615385,1,0.938461538,0.876923077
M4M,4.534050036,2.997881864,1.897530173,3.943569659,0.975609756,1,0.926829268,0.975609756
M4N,3.026697822,1.357213881,2.686785324,3.650541911,1,0.903225806,1,0.935483871
M4P,4.553503575,1.748518897,1.94659857,3.766251277,0.923076923,0.923076923,0.884615385,0.961538462
M4R,3.726915185,1.529411765,1.725718194,3.784712722,1,0.888888889,0.944444444,0.944444444
M4S,4.348698885,1.467587184,2.138714817,3.754965481,0.903225806,0.903225806,0.967741935,0.935483871
