TotalPop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3,2016_standard_derivation.SD_Instability_DA16,2016_standard_derivation.SD_Deprivation_DA16,2016_standard_derivation.SD_Dependency_DA16,2016_standard_derivation.SD_Ethniccon_DA16,2016_standard_derivation.SD_Instability_q_DA16,2016_standard_derivation.SD_Deprivation_q_DA16,2016_standard_derivation.SD_Dependency_q_DA16,2016_standard_derivation.SD_Ethniccon_q_DA16,2016_standard_derivation.PCODE3,2016_standard_derivation.count
43189,-0.683565508,-0.57871249,-1.039724424,0.710823915,1.748153465,1.955775776,1.273912339,4.349510292,L3X,0.563844824,1.038114323,0.405544914,0.423782692,1.152836614,1.056470081,0.599282725,0.629046043,L3X,31
68124,-0.225361083,-0.376527329,-0.427003514,0.165383737,2.705771828,2.426266808,2.315189948,3.52834537,L3Y,0.786076791,0.756073971,0.729898014,0.526022128,1.358612393,1.27095298,1.385729497,0.923103669,L3Y,86
33455,-0.552636698,-0.339225275,-0.701339588,0.212683183,2.099387237,2.50981916,1.701927963,3.628545808,L3Z,0.639393173,0.53235227,0.572550605,0.439175167,1.245496088,1.124217749,1.235334133,0.998317913,L3Z,35
45987,-0.626485656,-0.845055943,-0.268375932,0.29490838,2.018722682,1.519364168,2.168808576,3.87074608,L4A,0.634081689,0.369075312,0.988998881,0.587941717,1.17046096,0.828917121,1.345849465,1.169331498,L4A,44
37371,-0.181631859,-0.568716235,-0.090354197,1.661638849,2.545824302,2.053223087,3.023868775,4.964865805,L4B,0.784956227,0.321824726,0.464454002,0.485976477,1.328780104,0.803192284,1.030837651,0.262081798,L4B,55
91047,0.091117638,-0.320366815,0.003369297,1.183544573,3.097817611,2.480608916,2.892066735,4.670587718,L4C,0.864018951,0.656683261,0.774357148,0.718618076,1.405640178,1.298066968,1.23890251,0.622534507,L4C,128
52320,-0.86840326,-0.759171718,-0.9208642,1.276475801,1.318214832,1.622897554,1.220279052,4.737079511,L4E,0.4029626,0.326442029,0.516015967,0.629025912,1.118033989,0.812727701,1.164157703,0.606976979,L4E,20
56711,-0.391747726,-0.68502685,-0.603591867,0.299014604,2.356086121,1.714676165,1.857487965,3.836151717,L4G,0.771604704,0.730846375,0.855077955,0.438062772,1.400753217,1.255606984,1.307154679,0.833563716,L4G,63
72543,-1.138577702,-0.479372517,-0.898760735,0.721531231,1.144245482,2.408075211,1.300897399,4.499166012,L4H,0.255485391,0.427197875,0.569117337,0.564857969,0.304775727,0.982429086,1.072482031,0.835531692,L4H,53
78932,-0.414890052,-0.764173881,-0.197031798,0.648724702,2.173883849,1.665002787,2.696561597,4.454669842,L4J,0.647286996,0.355743077,0.833496103,0.448768827,1.128835577,0.799215681,1.257537412,0.587125621,L4J,97
