"PCODE3","instability_DA06","deprivation_DA06","dependency_DA06","ethniccon_DA06","DAPop_2006","instability_q_DA06","deprivation_q_DA06","dependency_q_DA06","Ethniccon_q_DA06"
"M4L","0.740397889583474623703448059486","0.115025180337714742192451291061","-0.611611249158894864910739497380","0.630543975048114575182756565118","31873","3","3","1","2"
"M4M","0.921999617197299202179468633975","0.508338897688599446983943295241","-0.489485397320133732446116013308","1.234590787159090773026664737933","20739","3","4","1","3"
"M4N","0.042745182586642173746918652424","-1.084344949881565052314434401534","0.215206501544143296453026568064","-0.036000727052942664543960558751","14604","2","2","2","2"
"M4P","2.096496362363076029337295690936","-0.799456545381984056760772659733","-0.578520410336075677254086181278","0.521830012361518738282317979198","16825","5","2","1","2"
"M4R","0.595996144077597822998780983340","-0.938321068741654590715156440471","-0.532188909682158936763510767980","-0.007858608460136749705404307192","9844","3","2","1","2"
"M4S","1.579897496413870615081165221259","-1.029878625375174874449633088726","-0.485592248906206383251056259729","0.382224677240847206338447854125","22485","4","2","1","2"
"M4T","0.929642857697713380620788237697","-1.140106408189960513988156013886","-0.028693150986123548233612415765","-0.071226689231153259505819889728","9794","3","2","2","2"
"M4V","1.585109206021191251007613076579","-1.210525330673375308385579937304","-0.103000552380865412835871025526","-0.005479420921807097990371697268","17864","4","2","2","2"
"M4W","1.387934959745344059764256132526","-1.383152956457099539980885632367","-0.097301228476932722045237336731","0.059592584578652375508123606244","15695","4","1","2","2"
"M4X","1.881772532940672389448514448514","0.775695558096159222970085470085","-0.615570155568116721764346764347","2.691063068750748381919006919007","19656","4","4","1","4"
"M4Y","2.737211835303761873407439076528","-0.862862476351755668730226592561","-0.606014978419944761457887986319","0.770007324263917064031637451903","23390","5","2","1","2"
"M5A","1.723110454465483120688469473523","1.219174960717956978963857262933","-0.805657965650280096366623366700","1.978617266863646484832276304730","26174","4","5","1","3"
"M5B","2.431705547378027172768143866410","-0.241533473309894531406551059730","-0.688377006312985942877328195247","1.240024478388303245343609505459","7785","5","3","1","3"
